ARESTTYPEID;ARESTTYPE
444;Арестован Аркадакским РА ОГПУ.
445;Арестован Лысогорским Рум.
446;Арестован Фёдоровским КО НКВД.
447;Арестован Ней-Вальтерским РО НКВД.
448;Арестован Ртищевским РО ОГПУ.
449;Арестован Аткарским ОГПУ.
450;Арестован Черкасским РО ОГПУ.
451;Арестован РО милиции.
452;Арестован ДТО НКВД РУж.д.
453;Арестован Пугачёвским РА ОГПУ.
454;Арестован Новорепинским РО НКВД.
455;Арестован Золотовским РО НКВД.
456;Арестован Вольским ГО НКВД.
457;Арестован УО МГБ РУж.д.
458;Арестован УКГБ по Саратовской области.
459;Арестован ОДТО ГУГБ НКВД ст. Ртищево.
460;Арестован ДТО ОГПУ.
461;Арестован ОДТО НКВД ст. Балашов.
462;Арестован ОДТО НКВД ст. Ртищево.
463;Арестован Хвалынским ОО УНКВД.
464;Арестована Ртищевским РО НКВД.
465;Арестована Балашовским РО УНКВД.
466;Арестована Петровским РО УНКВД.
467;Арестована Аткарским ОО ОГПУ.
468;Арестована УМГБ по Саратовской области.
469;Арестован ДТО ГУГБ НКВД РУж.д.
470;Арестован ОДТО ГУГБ НКВД.
471;Арестован ОК НКВД.
472;Арестован ДТО ГУГБ НКВД ст. Покровск.
473;Арестован Золотовским КО УНКВД РНП.
474;Арестован Воскресенским РО УНКВД.
475;Арестован УКР МВО.
476;Арестован Золотовским РО РКМ.
477;Арестован Красно-Партизанским РО УНКВД.
478;Арестован ДТО ГУГБ РУж.д.
479;Арестован УНКВД по Саратовской области
480;Арестована ТО НКГБ РУж.д.
481;Арестован Балашовским ГО УНКВД.
482;Арестован Вольским РО ОГПУ.
483;Арестован Воскресен- ским РО НКВД.
484;Арестован Воскресенским РО ОГПУ.
485;Арестован Пугачёвским ОО ОГПУ.
486;Арестован Ершовским РО УНКГБ.
487;Арестован Куккусским КО НКВД РНП.
488;Арестован Марксштадтским КО НКВД РНП.
489;Арестован КО УНКВД.
490;Арестована Бальцерским КО НКВД.
491;Арестован КО РКМ.
492;Арестована УНКВД АССР НП.
493;Арестован Татищевским РО УНКВД.
494;Арестован УРКМ.
495;Арестован Татищевским РО УНКВД
496;Арестован СПО УНКВД.
497;Арестован НКГБ АССР НП
498;Арестована НКВД по Саратовской области.
499;Арестован ОГПУ Саратовского края.
500;Арестован Аткарским РО НКВД.
501;Арестован ОДТО ГУГБ НКВД ст. Аткарск РУж.д.
502;Арестован Александрово-Гайским РО УНКВД.
503;Арестован 4 отделом НКВД.
504;Арестован ОДТО НКВД. Ст. Ртищева.
505;Арестован ДТО ГУГБ НКВД ст. Ртищево.
506;Арестован ДТО ОГПУ РУж.д.
507;Арестован Алексендрово-Гайским РО УНКВД.
508;Арестована Вольским РО УНКГБ.
509;Арестован КРО НКГБ АССР НП.
510;Арестован Вольским ГО ОГПУ.
511;Арестован Вольским ПП ОГПУ НВК.
512;Арестован СО УМГБ.
513;Арестован Хвалынским РА ОГПУ.
514;Арестована Вязовским РО УНКВД.
515;Арестован ОО НКВД 51 ЗСП.
516;Арестован Духовницким РА ОГПУ.
517;Арестован Лысогорским ОГПУ.
518;Арестован Н-Покровским РО УНКВД.
519;Арестован УГБ НКВД СССР.
520;Арестован Пугачёвским РА ОГПУ по НВК.
521;Арестован ВО НКГБ.
522;Арестована Севастопольским ГО УНКВД.
523;Арестована Хвалынским РО УНКВД.
524;Арестован ОКР МГБ 2 ВА.
525;Арестован УМГБ Саратовской области.
526;Арестован ОДТО ГУГБ НКВД ст. Ершов.
527;Арестован Широко-Карамышским РО НКВД.
528;Арестован Аркадакским ПП ОГПУ по НВК.
529;Арестована Кистендейским РО УНКВД.
530;Арестован ЭКО ПП ОГПУ по НВК.
531;Арестован Дурасовским РО УГБ НКВД по Саратовской области.
532;Арестован Дурасовским РО УГБ НКВД по Саратовской области
533;Арестован 00 УЛ НКВД.
534;Арестован КО НКВД РНП.
535;Арестован ОТО НКГБ ст. Аткарск.
536;Арестован Энгельским ГО УНКВД.
537;Арестована СО ПП ОГПУ НВК.
538;Арестован Покровским ОГПУ.
539;Арестован ОДНО ГУГБ НКВД ст. Покровск.
540;Арестован Базарно-Карабулакским РО НКВД.
541;Арестован СО Прокуратуры АССР НП.
542;Арестован ТО НКГБ РУж.д.
543;Арестован ОДТО ГУГБ ст. Ртищево.
544;Арестован Широко-Буеракским РО УНКВД.
545;Арестован Перелюбским РО УНКВД.
546;Арестован Дурассовским РО УНКВД.
547;Арестована Татищевским РО НКГБ.
548;Арестован ДТО ГУГБ Ю-Вж.д.
549;Арестован ДТО Гугб.
550;Арестован Саратовской УНКВД.
551;Арестован ОГПУ по ЛенВО.
552;Арестован Балаковским ПП ОГПУ.
553;Арестован ОТО НКГБ ст. Саратов.
554;Арестован ТО ОГПУ ст. Тамбов.
555;Арестован Дурасовским РО НКВД.
556;Арестована Хвалынским РО НКВД.
557;Арестована Турковским РО УНКВД.
558;Арестована Широко-Карамышским РО УНКВД.
559;Арестована Новоузенским РО УНКВД.
560;Арестован Петровским РА ОГПУ.
561;Арестована ДТО НКВД РУж.д.
562;Арестована Чапаевским РО УНКВД.
563;Арестована Куриловским РО НКВД.
564;Арестован ТО УГБ ДТО РУж.д.
565;Арестован ГУГБ РУж.д.
566;Арестована Романовским РО НКВД.
567;Арестована УНКГБ по Саратовской области.
568;Арестован Петровским РО ПП ОГПУ.
569;Арестован Покровским ГПУ АССР НП.
570;Арестован Родничковским РО НКВД.
571;Арестован Новоузенским РА ОГПУ НВК.
572;Арестован ДТО НКВД ст. Балашов.
573;Арестован Балтайским ОГПУ НВК.
574;Арестована Приволжским РО УНКВД.
575;Арестован ТО ОГПУ ст. Аткарск.
576;Арестован УНКВД АССР НП
577;Арестован УНКВД .
578;Арестован ДТО РУж.д. НКВД.
579;Арестован Аткарским ГО УНКВД.
580;Арестован Энгельским РО УНКВД.
581;Арестован Заволжской ОГПУ .
582;Арестован Покровским ГПУ РНП.
583;Арестована ОДНО НКВД ст. Ртищево.
584;Арестован ТО УГБ УНКВД Саратовского края.
585;Арестован ОМ3 НКВД АССР НП.
586;Арестован Лысогорским РА ОГПУ.
587;Арестован Мокроусским КО НКВД.
588;Арестован Бальцерким КО НКВД РНП.
589;Арестован Новобурасским РО УНКВД.
590;Арестован Гнаденфлюрским КО НКВД РНП.
591;Арестован Норинским РО УНКВД.
592;Арестован ОТО НКГБ ст. Покровск РУж.д.
593;Арестован ПП ОГПУ НВК.
594;Арестован Балашовским 00 ОГПУ.
595;Арестован Петровским РО РКМ.
596;Арестована Дергачёвским РО УНКВД.
